Range Group #(DO NOT CHANGE),Index in Range Group(DO NOT CHANGE),Range #(DO NOT CHANGE),Range Name," ""Start Call Number 1""",End Call Number 1,Location 1," ""Start Call Number 2""",End Call Number 2,Location 2,Etc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,8,332,C-51,QD291. D441 1969,QD453. T585 1959 V.4,Eisenhower C Level Reference,QD291. D5 1969 QUARTO,QD451.5 I57 1993 QUARTO,Eisenhower C Level Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9,333,C-52,QD541. S43 1973-74,QD951. D61 1972 V.6,Eisenhower C Level Reference,QD557. C731 1980 V.1 QUARTO,QD911. A481 1994 QUARTO,Eisenhower C Level Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10,334,C-53,QE5. A44 2003,QE881. K853 1980,Eisenhower C Level Reference,QE5. B38 1997 QUARTO,QE881. E84 1978 QUARTO,Eisenhower C Level Reference,QH26. N68 1996,QH588. S83 G85 2005,Eisenhower C Level Reference,QH45.5 F481 1994 QUARTO,QH605. M85 2007 QUARTO,Eisenhower C Level Reference,QK45.2 L3 2005,QK981.45 H36 2005,Eisenhower C Level Reference,QK9. B16 1976 QUARTO,QK861. B45 2000 QUARTO,Eisenhower C Level Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,11,335,C-54,QP517. M3 T733 2002,QP801. B69 B565 2005 V.2,Eisenhower C Level Reference,QP517. C45 H36 2004 V.1 QUARTO,QP623. R569 2001 QUARTO,Eisenhower C Level Reference,QR62. M524 2007,QR389. C36 2012,Eisenhower C Level Reference,QR41.2 B77 2012 QUARTO,QR389. H38 2012 QUARTO,Eisenhower C Level Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,336,C-55,R111. N62 1967 V.1,R895. A518 2009,Eisenhower C Level Reference,R120. N4 1958 V.1 QUARTO,R857. M3 E63 2004 V.2 QUARTO,Eisenhower C Level Reference,RA395. A3 S485 2008,RA1247. R33 L341 1987,Eisenhower C Level Reference,RA241. I75 1968 V.1 QUARTO,RA1242. P75 S49 1990 QUARTO,Eisenhower C Level Reference,RB155. T52 2001 QUARTO,RB155. T52 2001 QUARTO,Eisenhower C Level Reference,RC55. M55 18TH ED. 2006,RC953.7 J641 1993,Eisenhower C Level Reference,RC46. C42 2004 QUARTO,RC473. P78 A46 2008 QUARTO,Eisenhower C Level Reference,RJ506. B44 W65 2009,RJ506. B44 W65 2009,Eisenhower C Level Reference,RJ131. C585 2009 QUARTO,RJ131. C585 2009 QUARTO,Eisenhower C Level Reference,RK91. A582 A2013,RK91. A582 A2014,Eisenhower C Level Reference,RM300. D75 2015,RM671. A1 P48 35TH ED. 2014,Eisenhower C Level Reference,RM301.25 E53 2003 QUARTO,RM301.25 E53 2003 QUARTO,Eisenhower C Level Reference,RS55. Z85 2005,RS431. A6 B471 1980 V.13 PT.3,Eisenhower C Level Reference,RS189. P4251 1992 V.1 QUARTO,RS403. T43 2004 QUARTO,Eisenhower C Level Reference,S411. G214 1992,S585. M47 1998 PT.2,Eisenhower C Level Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,13,337,C-56,TA350. H225 1998,TA2020. S65 2007,Eisenhower C Level Reference,TA350. M458 2007 SUPPL.2 QUARTO,TA1800. G84 2002 QUARTO,Eisenhower C Level Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,14,338,C-57,TC9. P641 1990,TC205. H33 2000,Eisenhower C Level Reference,TD9. P36 2001,TD1060. L44 2004,Eisenhower C Level Reference,TD9. E5 2006 V.1 QUARTO,TD1052. M381 1992 QUARTO,Eisenhower C Level Reference,TG145. B85 1999,TG335. B68 2004,Eisenhower C Level Reference,TH9. G35 1990,TH7007. K67 1995,Eisenhower C Level Reference,TH151.E6411994V.1 QUARTO,TH2031.R352000,Eisenhower C Level Reference,TJ145. W72 2004,TJ1075. M567 2000 V.2,Eisenhower C Level Reference,TJ159. L48 1997 QUARTO,TJ930. N363 2002 QUARTO,Eisenhower C Level Reference,TK153. K18 2009,TK9009. R67 2003,Eisenhower C Level Reference,TK146. G974 2007 QUARTO,TK8322. P463 2007 QUARTO,Eisenhower C Level Reference,TL151. S68 2005,TL1050. C87 2010,Eisenhower C Level Reference,TL788. E7713 1990 FOLIO,TL788. E7713 1990 FOLIO,Eisenhower C Level Reference,TN260. B541 1989,TN870.5 M4931 1989,Eisenhower C Level Reference,TN9. T45 1968 QUARTO,TN871.35 C63 1999 QUARTO,Eisenhower C Level Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,15,339,C-58,TP156. P3 H351 1989,TP1183. F6 M54 2007,Eisenhower C Level Reference,TP156. P83 P47 1997 QUARTO,TP1180. P68 M35 1998 QUARTO,Eisenhower C Level Reference,TR9. F6 1993,TR9. F6 1993,Eisenhower C Level Reference,TR9. H25 2008 V.1 QUARTO,TR642. E5 2006 V.3 QUARTO,Eisenhower C Level Reference,TS9. H571 1988,TS1540. H26 1998,Eisenhower C Level Reference,TS156.8 I56 2002 QUARTO,TS183. M382 2003 QUARTO,Eisenhower C Level Reference,TX349. M261 1983,TX406. S571 1994,Eisenhower C Level Reference,TX349. E45 2004 V.1 QUARTO,TX653. S57 2004 QUARTO,Eisenhower C Level Reference,U52. D531 1984 V.1,U52. W41 1978,Eisenhower C Level Reference,U52. S88 2004 V.1 QUARTO,U52. S88 2004 V.2 QUARTO,Eisenhower C Level Reference,VM605. O24 2001,VM605. O24 2001,Eisenhower C Level Reference,Z1006. G35 1997,Z7403. R88 1965 INDEX V.3 PT.2,Eisenhower C Level Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,340,C-59,QA76.59 A364 QUARTO,QA933. T441 1995 QUARTO,Eisenhower General Collection,QB1. A1767 2010,QB362. M3 D53 1996,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,341,C-60,QB362. M3 F761 1995,QB998. M3 1989,Eisenhower General Collection,QB1. A28593 1999 QUARTO,QB995. L83 1989 V .1 QUARTO,Eisenhower General Collection,QB995. U54 1976 V.1 FOLIO,QB995. U54 1976 V.6 FOLIO,Eisenhower General Collection,QC1. A12 1999,QC1. B79 1997 V.30 PT.21-24,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2,342,C-61,QC1. B79 V.31 PT.1-6,QC1. O71 V.47,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,343,C-62,QC1. O71 V.51,QC6.4 D8 D82,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4,344,C-63,QC6.4 F58 I56,QC145.2 F55 V.18,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5,345,C-64,QC145.2 F55 V.19,QC173.98 M441 V.2,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,346,C-65,QC173.98 M441 V.5 PT.1,QC176. A1 S615 V.121-123,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,347,C-66,QC176. A1 S615 V.124-125,QC243. N49,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,8,348,C-67,QC243. O33,QC454. C634 C651,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9,349,C-68,QC454. C68 V.1 PT.A,QC711.8 B7 L341,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10,350,C-69,QC711.8 G5 G581,QC787. S34 I57,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,11,351,C-70,QC787. S34 L571,QC811. J624 V.88 NO.1-6,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,12,352,C-71,QC811. J624 V.88 NO.7-11,QC981.8 C5 F438,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,13,353,C-72,QC981.8 C5 F45 1998,QC996.5 F67 2003,Eisenhower General Collection,QC1. A782 2010 QUARTO,QC980. C54 1991 QUARTO,Eisenhower General Collection,QC718. Z99661 1972 SUPPL.1 FOLIO,QC884.2 C5 A71 1992 FOLIO,Eisenhower General Collection,QD1. A282 1985 SER.A V.39,QD1. A523 2007 V.79 NO.7-9,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,14,354,C-73,QD1. A523 V.79 NO.10-12,QD1. C69 V.68 NO.5-8,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,15,355,C-74,QD1. C69 V.68 NO.9-12,QD1. J887 V.122 NO.3-4,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,16,356,C-75,QD1. J887 V.122 NO.5-6,QD1. J9 V.40 NO.9-17,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,17,357,C-76,QD1. J9 V.40 NO.18-26,QD1. R58 V.50 NO.2-8,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,359,C-77,QD1. R73.V54,QD1. Z46 V.214 NO.1-4,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,360,C-78,QD1. Z46 V.214 NO.5-8,QD71. A635 V.42,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2,361,C-79,QD71. C39 V.14-15,QD172. R2 I581 V.2,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3,362,C-80,QD172. R2 L27,QD262. S9245 1995 NO.1-6,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4,363,C-81,QD262. S9245 1995 NO.7-12,QD399. H4 V.32 NO.8-10,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5,364,C-82,QD399. H4 V.32 NO.11-12,QD453. A3 V.82 PT.2,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6,365,C-83,QD453. A3 V.83,QD505. H63 V.2,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,366,C-84,QD505. H67,QD716. P45 P461,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,367,C-85,QD716. P47 O74 1999 V.1,QD981. R6,Eisenhower General Collection,QD3. P38 2001 V.1 QUARTO,QD281. P6 B68 1974 QUARTO,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9,368,C-86,QD291. I571 1993 QUARTO,QD931. C47 1972 V.4 QUARTO,Eisenhower General Collection,QD8. P4 1980 FOLIO,QD8. P4 1980 FOLIO,Eisenhower General Collection,QE1. A17 1980-82 V.15-17,QE1. G65 2004 V.41-42,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10,369,C-87,QE1. G65 V.43-46,QE11. E26 V.8-9,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,11,370,C-88,QE11. E26 V.10-11,QE75. W3 NO.1728-1730,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,12,371,C-89,QE75. W3 NO.1731-1732,QE295. A23 SER.6,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,13,372,C-90,QE295. A23 SER.7,QE501.4 N9 H361 1980 V.1,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,14,373,C-91,QE501.4 N9 H361 1980 V.2,QE701. P155 ABT.B 1974-75 V.149-150B,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,15,374,C-92,QE701. P155 ABT.B 1975 V.151B,QE996. K43 1986 PT.2,Eisenhower General Collection,QE1. A441 1990 QUARTO,QE626. P481 1994 QUARTO,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,375,C-93,QE627.5 A4 A28 2008 QUARTO,QE993. S431 1994 QUARTO,Eisenhower General Collection,QE65. B49 FOLIO,QE729. J79 FOLIO,Eisenhower General Collection,QH1. A51 1979-80 V.165-166,QH211. W97 1949,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,376,C-94,QH211. W972 1958,QH301. G35 1989 V.25 NO.1-6,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2,377,C-95,QH301. G35 1989 V.25 NO.7-12,QH301. J823 2004 V.279 PP.48487-49562,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3,378,C-96,QH301. J823 2004 V.279 PP.49563-50638,QH366.2 F871 1986,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4,379,C-97,QH366.2 F881 1983,QH540. A675 1999,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5,380,C-98,QH540. A8 1984-85 V.9-10,QH601. C84 1989 V.34,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,6,381,C-99,QH601. C84 1990 V.35,QH705. C41 2005,Eisenhower General Collection,QH11. A75 2001 QUARTO,QH652. N3 1956 QUARTO,Eisenhower General Collection,QK1. A18 1985 V.27,QK96. I63 2005,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7,382,C-100,QK96. J118 1916,QK996. J47,Eisenhower General Collection,QK5. B681 1989 QUARTO,QK981.5 T73 1998X QUARTO,Eisenhower General Collection,QK261. D44 1943 FOLIO,QK473. H4 D67 1966 FOLIO,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,383,C-101,QL1. A6 1841 INDEX,QL723. C23 B261 1993,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,384,C-102,QL737. C23 C345 2002,QL981. O74 1999,Eisenhower General Collection,QL31. A9 B65 2000 QUARTO,QL991. S48 2010 QUARTO,Eisenhower General Collection,QL937. P389 1982 FOLIO,QL937. P389 1982 FOLIO,Eisenhower General Collection,QM1. J6 INDEX 1866-1966,QM699. P313 1982,Eisenhower General Collection,QM11. V64 2004 QUARTO,QM101. V47 1998 QUARTO,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10,385,C-103,QM105. R53 2011 QUARTO,QM691. S53 2004 QUARTO,Eisenhower General Collection,QP1. J77 1974 V.15,QP361. K8 1992,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,11,386,C-104,QP361. N37 1997,QP517. R4 K56 1981,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,12,387,C-105,QP517. R48 Y361 1989,QP751. L5474 2010,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,13,388,C-106,QP751. L555581 1986,QP981. C25 C37 1975 V.2,Eisenhower General Collection,QP1. P521 1995 QUARTO,QP951. P441 1971 V.1 QUARTO,Eisenhower General Collection,QR1. C47 1982-85 V.10-11,QR502. P745 2004,Eisenhower General Collection,QR1. J574 2000 V.88 SUPPL. QUARTO,QR82. S7 S7 2001 QUARTO,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
